fact_code,line_code,smv,running_days,total_target,day_output,total_present,available_mins,output_mins,output_target,absent_rate,alter_rate,spot_rate,reject_rate,dow,date
1001,100105,,1,1200,1200,,,,1,,0.0733591,,0,2,1/1/2013
1001,100105,,2,800,635,,,,0.79375,,0.1093969,,0.002805,4,10/1/2013
1001,100105,,3,1000,650,,,,0.65,,0.0727532,,0.0042796,6,12/1/2013
1001,100105,,4,800,720,,,,0.9,,0.0721649,,0,0,13/1/2013
1001,100105,,5,1000,800,,,,0.8,,0.086758,,0.0011416,1,14/1/2013
1001,100105,,6,1500,1450,,,,0.9666666,,0.0541422,,0.0032616,2,15/1/2013
1001,100105,,7,1800,1600,,,,0.8888889,,0.0464839,,0.0005959,3,16/1/2013
1001,100105,,8,1800,1700,,,,0.9444444,,0.0518684,,0.0033463,4,17/1/2013
1001,100105,,9,2550,1490,,,,0.5843138,,0.0430315,,0.0032113,6,19/1/2013
1001,100105,,2,1450,1400,,,,0.9655172,,0.0559676,,0,3,2/1/2013
1001,100105,,10,1800,1700,,,,0.9444444,,0.0379174,,0.0028297,0,20/1/2013
1001,100105,,11,1800,1400,,,,0.7777778,,0.0482665,,0.003399,1,21/1/2013
1001,100105,,12,1800,1750,,,,0.9722222,,0.0400439,,0.0021942,2,22/1/2013
1001,100105,,13,1800,1750,,,,0.9722222,,0.0389896,,0.0016474,3,23/1/2013
1001,100105,,14,1417,1310,,,,0.9244884,,0.0346352,,0.0036846,4,24/1/2013
1001,100105,,2,2200,2000,,,,0.9090909,,0.0579369,,0.0009421,6,26/1/2013
1001,100105,,3,3600,2860,,,,0.7944444,,0.0441176,,0.0016711,0,27/1/2013
1001,100105,,4,4080,3620,,,,0.8761905,,0.0391645,,0.0005222,1,28/1/2013
1001,100105,,5,4080,3620,,,,0.9166667,,0.0432406,,0.0014911,2,29/1/2013
1001,100105,,3,1450,1450,,,,1,,0.0510471,,0,4,3/1/2013
1001,100105,,6,4080,3620,,,,0.9395834,,0.0369421,,0.0014948,3,30/1/2013
1001,100105,,7,4080,3620,,,,0.9546296,,0.0377077,,0.0014934,4,31/1/2013
1001,100105,,4,1200,1220,,,,1.016667,,0.0644172,,0,6,5/1/2013
1001,100105,,1,795,765,,,,0.9622642,,0.0704739,,0,0,6/1/2013
1001,100105,,2,2200,1810,,,,0.8227273,,0.0577824,,0.0010411,1,7/1/2013
1001,100105,,3,3500,3150,,,,0.9,,0.0358127,,0.0003061,2,8/1/2013
1001,100105,,4,1605,1530,,,,0.953271,,0.0514569,,0.0037198,3,9/1/2013
1001,100105,,1,4080,3620,49,33310.2,,0.8653846,0.1833333,0.0486258,,0.0029598,2,1/10/2013
1001,100105,,9,3500,3200,49,29400,,0.9142857,0.1833333,0.049599,,0.001485,4,10/10/2013
1001,100105,,17,3200,3620,45,27000,,1.326875,0.25,0.0330221,,0.000911,6,12/10/2013
1001,100105,,1,2900,2295,46,29532,,0.7913793,0.2068966,0.0551667,,0.0008234,0,13/10/2013
1001,100105,,2,1150,1480,47,16920,,1.286957,0.1896552,0.0426908,,0,1,14/10/2013
1001,100105,,2,3750,3620,49,31369.8,,1.28,0.1833333,0.0487515,,0.0057471,3,2/10/2013
1001,100105,,22,0,870,46,22080,,,0.2333333,0.0715048,,0.0032017,2,22/10/2013
1001,100105,,23,1700,1087,47,22560,,0.6394117,0.1896552,0.0605013,,0,3,23/10/2013
1001,100105,,2,1550,1220,47,28200,,0.7870968,0.1896552,0.098966,,0,4,24/10/2013
1001,100105,,1,1810,1760,49,29400,,0.9723757,0.1694915,0.0761155,,0.0031496,6,26/10/2013
1001,100105,,4,850,1120,50,27930,,1.317647,0.1525424,0.1194969,,0,0,27/10/2013
1001,100105,,5,800,1100,51,36720,,1.375,0.15,0.097621,,0.0090238,1,28/10/2013
1001,100105,,1,800,115,50,27330,,0.14375,0.1666667,0.1287879,,0,2,29/10/2013
1001,100105,,3,3850,3620,49,29400,,1.103896,0.1833333,0.0455872,,0.008309,4,3/10/2013
1001,100105,,2,1300,1050,49,29400,,0.8076923,0.1694915,0.0402194,,0.0027422,3,30/10/2013
1001,100105,,3,1300,960,51,24480,,0.7384616,0.15,0.039039,,0,4,31/10/2013
1001,100105,,4,4080,3620,49,29400,,1.186207,0.1694915,0.0261854,,0.0012739,6,5/10/2013
1001,100105,,5,3350,2780,48,28800,,0.8298507,0.1864407,0.0601758,,0.0006761,0,6/10/2013
1001,100105,,6,3350,3504,50,34020,,1.04597,0.1666667,0.054251,,0.0010796,1,7/10/2013
1001,100105,,7,2900,3620,49,29400,,1.254828,0.1833333,0.0535761,,0.0002601,2,8/10/2013
1001,100105,,8,4080,3620,50,34020,,0.9245238,0.1666667,0.0526958,,0.0014638,3,9/10/2013
1001,100105,,,,,52,,,,0.1186441,,,,0,10/11/2013
1001,100105,,2,450,150,50,24000,,0.3333333,0.1525424,0.0963855,,0.0060241,1,11/11/2013
1001,100105,,4,1500,1098,51,30600,,0.732,0.1355932,0.0393701,,0.0017498,4,14/11/2013
1001,100105,,6,2750,2225,52,31200,,0.8090909,0.1186441,0.0305011,,0.0008715,6,16/11/2013
1001,100105,,7,3080,2730,51,30600,,0.8863636,0.15,0.0301954,,0.0007105,0,17/11/2013
1001,100105,,8,2100,2600,53,31800,,1.238095,0.1166667,0.0269461,,0,1,18/11/2013
1001,100105,,3,1450,1590,53,25440,,1.096552,0.1166667,0.0375303,,0.0006053,2,19/11/2013
1001,100105,,4,2000,960,50,24000,,0.48,0.1525424,0.0532544,,0.0009862,6,2/11/2013
1001,100105,,4,0,444,53,25440,,,0.1166667,0.038961,,0,3,20/11/2013
1001,100105,,,,,52,,,,0.1333333,,,,4,21/11/2013
1001,100105,,1,300,10,51,24480,,0.0333333,0.15,0.1666667,,0,6,23/11/2013
1001,100105,,1,400,300,50,30000,,0.75,0.1666667,0.1176471,,0,0,24/11/2013
1001,100105,,2,800,520,52,31200,,0.65,0.1333333,0.0956522,,0.0052174,1,25/11/2013
1001,100105,,3,500,580,53,31800,,1.16,0.1166667,0.0880503,,0,2,26/11/2013
1001,100105,,4,900,700,52,31200,,0.7777778,0.1333333,0.0837696,,0,3,27/11/2013
1001,100105,,5,850,510,52,31200,,0.6,0.1333333,0.1891892,,0,4,28/11/2013
1001,100105,,5,1500,1550,48,28800,,1.033333,0.1724138,0.015873,,0,0,3/11/2013
1001,100105,,6,1050,800,52,31200,,0.7619048,0.1333333,0.1266375,,0.0021834,6,30/11/2013
1001,100105,,6,1450,1550,49,29400,,1.068966,0.1551724,0.0282132,,0,1,4/11/2013
1001,100105,,7,1300,1580,50,30000,,1.215385,0.137931,0.0216718,,0,2,5/11/2013
1001,100105,,8,0,150,50,33000,,,0.137931,0.0625,,0,3,6/11/2013
1001,100105,,9,1450,1550,52,31200,,1.068966,0.1186441,0.0226986,,0,4,7/11/2013
1001,100105,,10,1000,980,51,28366.2,,0.98,0.1355932,0.0373281,,0,6,9/11/2013
1001,100105,,7,1000,820,53,31800,,0.82,0.1166667,0.1192266,,0.0032223,0,1/12/2013
1001,100105,,2,550,170,52,31200,,0.3090909,0.1186441,0.2018779,,0,2,10/12/2013
1001,100105,,3,600,420,50,30000,,0.7,0.1525424,0.0948276,,0,3,11/12/2013
1001,100105,,4,1000,600,50,30000,,0.6,0.1525424,0.0551181,,0,4,12/12/2013
1001,100105,,5,1000,750,51,30600,,0.75,0.1355932,0.0636704,,0.0012484,6,14/12/2013
1001,100105,,6,1000,800,51,30600,,0.8,0.1355932,0.0654206,,0,0,15/12/2013
1001,100105,,7,1000,900,53,31800,,0.9,0.1166667,0.0797546,,0,2,17/12/2013
1001,100105,,8,1000,950,53,31800,,0.95,0.1166667,0.0518962,,0,3,18/12/2013
1001,100105,,9,1000,900,52,31200,,0.9,0.1186441,0.0536278,,0,4,19/12/2013
1001,100105,,8,700,850,53,31800,,1.214286,0.1166667,0.1052632,,0.0010526,1,2/12/2013
1001,100105,,1,2200,1700,49,29400,,0.7727273,0.1403509,0.0659341,,0,6,21/12/2013
1001,100105,,2,3300,2800,51,30600,,0.8484849,0.1206897,0.0351482,,0,0,22/12/2013
1001,100105,,3,4000,3450,50,30000,,0.8625,0.122807,0.0300815,,0,1,23/12/2013
1001,100105,,4,4000,2883,51,30600,,0.72075,0.1206897,0.046627,,0.0006614,2,24/12/2013
1001,100105,,5,4000,3620,51,30600,,0.95,0.1206897,0.0343075,,0.0005083,3,25/12/2013
1001,100105,,6,4000,3400,51,30600,,0.85,0.1206897,0.0381895,,0.0016973,4,26/12/2013
1001,100105,,7,4000,3620,50,30000,,0.95,0.137931,0.0391909,,0.0010114,6,28/12/2013
1001,100105,,8,4000,3620,48,28800,,0.95,0.1724138,0.0338164,,0.0015256,0,29/12/2013
1001,100105,,9,700,750,52,31200,,1.071429,0.1333333,0.1176471,,0,2,3/12/2013
1001,100105,,9,4000,3310,49,29400,,0.8275,0.1551724,0.0361095,,0.0008736,1,30/12/2013
1001,100105,,10,1900,1600,50,26940,,0.8421053,0.1666667,0.0407674,,0.001199,2,31/12/2013
1001,100105,,10,600,800,52,24960,,1.333333,0.1186441,0.0836197,,0,3,4/12/2013
1001,100105,,11,700,3620,52,31200,,1.598765,0.1186441,0.0106545,,0,4,5/12/2013
1001,100105,,12,750,450,53,31800,,0.6,0.1166667,0.1573034,,0,6,7/12/2013
1001,100105,,13,400,755,52,0,,1.598765,0.1186441,0.1001192,,0,0,8/12/2013
1001,100105,,14,500,110,53,31800,,0.22,0.1166667,0.3373494,,0,1,9/12/2013
1001,100105,,15,4080,3620,37,26640,,0.8950617,0.212766,0.0320427,,0.0021696,0,10/2/2013
1001,100105,,16,4080,3620,37,26640,,0.9722222,0.212766,0.0352221,,0.0012251,1,11/2/2013
1001,100105,,17,4080,3620,36,21600,,1.009259,0.2340426,0.0381221,,0.0014119,2,12/2/2013
1001,100105,,18,4080,3620,37,26640,,0.9799383,0.212766,0.0320122,,0.001372,3,13/2/2013
1001,100105,,19,4080,3620,32,19200,,1.030556,0.3191489,0.0345246,,0.0024289,4,14/2/2013
1001,100105,,20,4080,3620,36,25920,,0.9722222,0.2173913,0.0335941,,0.0021476,6,16/2/2013
1001,100105,,21,4080,3620,36,25920,,0.9799383,0.2173913,0.0388981,,0.0015135,0,17/2/2013
1001,100105,,22,4080,3620,36,21600,,1,0.2173913,0.0423834,,0.0028374,1,18/2/2013
1001,100105,,23,4080,3620,36,25920,,0.9722222,0.2340426,0.0399269,,0.0024383,2,19/2/2013
1001,100105,,8,4080,3620,35,25200,,0.9645061,0.2222222,0.0314582,,0.0018596,6,2/2/2013
1001,100105,,24,4080,3620,36,25920,,0.9567901,0.2340426,0.0378647,,0.0037244,3,20/2/2013
1001,100105,,25,4080,3620,36,21600,,0.9638889,0.2340426,0.0444281,,0.0040389,6,23/2/2013
1001,100105,,26,200,1485,37,17760,,1.598765,0.212766,0.0394567,,0.0051746,0,24/2/2013
1001,100105,,2,800,600,37,22200,,0.75,0.212766,0.086758,,0.0030441,1,25/2/2013
1001,100105,,3,1500,1450,38,27360,,0.9666666,0.1914894,0.0553746,,0.0006515,2,26/2/2013
1001,100105,,,,,37,,,,0.212766,,,,3,27/2/2013
1001,100105,,,,,39,,,,0.1702128,,,,4,28/2/2013
1001,100105,,9,4080,3620,35,21000,,0.9740741,0.2222222,0.0353934,,0.0022006,0,3/2/2013
1001,100105,,10,4080,3620,36,25920,,0.9722222,0.2173913,0.0294254,,0.0015406,1,4/2/2013
1001,100105,,11,4080,3620,36,25920,,0.9182099,0.2173913,0.0304709,,0.0027701,2,5/2/2013
1001,100105,,12,4080,3620,36,21600,,0.962963,0.2173913,0.0356083,,0.0012982,3,6/2/2013
1001,100105,,13,4080,3620,36,21600,,1,0.2173913,0.0332975,,0.0021482,4,7/2/2013
1001,100105,,14,4080,3620,37,37740,,0.8071895,0.212766,0.0215238,,0,6,9/2/2013
1001,100105,,8,4080,3620,36,21600,,0.9285714,0.2,0.0429112,,0.000631,0,10/3/2013
1001,100105,,1,4080,3620,38,27360,,0.7584952,0.1555556,0.0547013,,0.0022687,1,11/3/2013
1001,100105,,2,4080,3370,38,35887.2,,0.7020833,0.1363636,0.0736466,,0.0002748,2,12/3/2013
