fact_code,date,line_code,merged,merged_with1,merged_with2,split_line,buyer,smv,running_days,target_mins,hours,available_mins,input_count,output_count,day_output,output_mins,lost_mins,ttl_check,reject,machines,lo_present,lo_absent,hl_present,hl_absent,defect
1004,01/01/13,100401,2,,,,,,,,,,,1,,,,1404,17,,,,,,77
1004,01/02/13,100401,2,,,,,,,,,,,1,,,,1555,17,,,,,,68
1004,01/03/13,100401,2,,,,,,,,,,,1,,,,1515,9,,,,,,86
1004,01/05/13,100401,2,,,,,,,,,,,1,,,,1604,8,,,,,,86
1004,01/06/13,100401,2,,,,,,,,,,,1,,,,1600,10,,,,,,80
1004,01/07/13,100401,2,,,,,,,,,,,1,,,,1628,10,,,,,,78
1004,01/08/13,100401,2,,,,,,,,,,,1,,,,1629,9,,,,,,80
1004,01/09/13,100401,2,,,,,,,,,,,1,,,,1625,11,,,,,,74
1004,01/10/13,100401,2,,,,,,,,,,,1,,,,1368,9,,,,,,110
1004,01/12/13,100401,2,,,,,,,,,,,1,,,,1564,8,,,,,,76
1004,01/13/13,100401,2,,,,,,,,,,,1,,,,1456,9,,,,,,87
1004,01/14/13,100401,2,,,,,,,,,,,1,,,,1434,12,,,,,,82
1004,01/15/13,100401,2,,,,,,,,,,,1,,,,1550,11,,,,,,89
1004,01/16/13,100401,2,,,,,,,,,,,1,,,,1435,9,,,,,,96
1004,01/17/13,100401,2,,,,,,,,,,,1,,,,1314,9,,,,,,105
1004,01/19/13,100401,2,,,,,,,,,,,1,,,,927,9,,,,,,78
1004,01/20/13,100401,2,,,,,,,,,,,1,,,,1601,10,,,,,,101
1004,01/21/13,100401,2,,,,,,,,,,,1,,,,1423,6,,,,,,97
1004,01/22/13,100401,2,,,,,,,,,,,1,,,,1070,9,,,,,,101
1004,01/23/13,100401,2,,,,,,,,,,,1,,,,1429,10,,,,,,129
1004,01/24/13,100401,2,,,,,,,,,,,1,,,,1544,11,,,,,,133
